編號,"元神
編號",擁有,名稱（1024更新）,屬1,屬2,CP,HP,IV,升級星魄,升級元丹,Level,技1,技屬性1,Att1,"小招
集氣
次數",技2,技屬性2,Att2,STAB1,STAB2,CP1,同頂級CP,"HP/
SQRT(LV)",平均Att,45.5 ,,,,
24,13,,龜靈,鬥,毒,267,49,82,1900,2,16.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,8.027660854,606 ,12.06296612,,,,,,
25,13,,龜靈,鬥,毒,265,51,82,1900,2,16.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,7.967528563,602 ,12.55533208,,,,,,
26,14,v,龜靈高,鬥,毒,135,37,88,800,1,7.5,屠滅擊,鬥,11,,無影連環,無,18,1.25,1,9.162170416,692 ,13.51048975,,,,,,
27,14,,龜靈高,鬥,毒,47,22,84,400,1,3,無影神針,毒,11,,無影連環,無,18,1.25,1,8.993494068,679 ,12.70170592,,,,,,
29,15,v,北靈玄武,鬥,毒,387,67,95,800,1,8.5,天蠍刺,毒,12,8,猛毒,毒,42,1.25,1.25,22.97076718,1735 ,22.98081041,19.16666667,,,,,
28,15,v,北靈玄武,鬥,毒,431,71,88,1000,1,9.5,屠滅擊,鬥,11,3,鬥志爆發,鬥,33,1.25,1.25,22.73146805,1717 ,23.0354418,20.625,,,,,
30,15,,北靈玄武,鬥,毒,93,32,82,200,1,2.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,22.09026128,1668 ,20.23857703,,,,,,
31,16,,一粒蛋,無,空,281,48,84,1900,2,15,衝擊,無,11,,龍卷,龍,19,1.25,1,9.361361895,707 ,12.39354671,,,,,,
35,16,v,一粒蛋,無,空,96,29,84,600,1,5.5,快擊,無,8,,突襲,空,18,1.25,1.25,9.135461769,690 ,12.36564155,,,,,,
32,16,低,一粒蛋,無,空,259,46,4,2200,2,18,衝擊,無,11,,龍卷,龍,19,1.25,1,7.191048671,543 ,10.84230398,,,,,,
38,16,,一粒蛋,無,空,252,45,4,2200,2,17.5,衝擊,無,11,,龍卷,龍,19,1.25,1,7.146908678,540 ,10.75705748,,,,,,
37,16,,一粒蛋,無,空,216,42,4,1900,2,15,衝擊,無,11,,龍卷,龍,19,1.25,1,7.138136153,539 ,10.84435337,,,,,,
33,16,低,一粒蛋,無,空,257,45,2,2200,2,18,快擊,無,8,,一閃而逝,空,21,1.25,1.25,7.135519338,539 ,10.60660172,,,,,,
36,16,,一粒蛋,無,空,223,43,4,1900,2,15.5,衝擊,無,11,,龍卷,龍,19,1.25,1,7.13371721,539 ,10.92201092,,,,,,
39,16,,一粒蛋,無,空,230,43,4,1900,2,16,衝擊,無,11,,龍卷,龍,19,1.25,1,7.129572226,538 ,10.75,,,,,,
41,16,,一粒蛋,無,空,237,44,4,1900,2,16.5,衝擊,無,11,,龍卷,龍,19,1.25,1,7.125676488,538 ,10.83205121,,,,,,
40,16,,一粒蛋,無,空,244,45,4,2200,2,17,衝擊,無,11,,龍卷,龍,19,1.25,1,7.122008173,538 ,10.91410313,,,,,,
34,16,,一粒蛋,無,空,250,44,2,2200,2,17.5,快擊,無,8,,一閃而逝,空,21,1.25,1.25,7.090187181,535 ,10.51801176,,,,,,
42,16,,一粒蛋,無,空,256,45,0,2200,2,18,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,7.060121346,533 ,10.60660172,,,,,,
43,17,v,頂聒聒,無,空,551,75,93,1900,2,16,破甲擊,甲,11,,突襲,空,18,1,1.25,17.2096074,1300 ,18.75,,,,,,
44,17,,頂聒聒,無,空,477,67,84,1600,2,14,破甲擊,甲,11,,突襲,空,18,1,1.25,17.02537745,1286 ,17.90650321,,,,,,
45,17,,頂聒聒,無,空,16,13,84,200,1,1,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,16,1208 ,13,,,,,,
47,18,v,南靈朱雀,無,空,531,71,95,1000,1,9,破甲擊,甲,11,9,突襲,空,18,1,1.25,29.65817694,2240 ,23.66666667,12.15,,,,,
48,18,v,南靈朱雀,無,空,402,62,88,800,1,7,白鶴亮翅,空,12,3,突襲,空,18,1.25,1.25,29.39026173,2219 ,23.43379733,16.875,,,,,
46,18,低,南靈朱雀,無,空,906,94,0,2200,2,18,白鶴亮翅,空,12,,威震天下,空,50,1.25,1.25,25.15478802,1900 ,22.15601248,,,,,,
50,19,,武媚娘,無,,121,28,84,800,1,7.5,衝擊,無,11,,擊打,土,24,1.25,1,8.21201941,620 ,10.22415441,,,,,,
52,19,,武媚娘,無,,181,34,88,1300,2,11,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,8.131176999,614 ,10.25138572,,,,,,
51,19,v,武媚娘,無,,85,24,84,600,1,5.5,衝擊,無,11,,擊打,土,24,1.25,1,8.088690108,611 ,10.23363439,,,,,,
49,19,,武媚娘,無,,34,15,88,200,1,2.5,衝擊,無,11,,擊打,土,24,1.25,1,8.076009501,610 ,9.486832981,,,,,,
53,19,,武媚娘,無,,260,41,82,1900,2,16,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,8.059516429,609 ,10.25,,,,,,
54,19,,武媚娘,無,,312,45,80,2500,2,19.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,7.947019868,600 ,10.19049331,,,,,,
55,20,,武則天,無,,629,64,91,1900,2,15.5,快擊,無,8,,重擊,無,33,1.25,1.25,20.27920173,1531 ,16.25601626,,,,,,
56,20,進,武則天,無,,84,24,88,200,1,2.5,快擊,無,8,,重擊,無,33,1.25,1.25,20.14630052,1521 ,15.17893277,,,,,,
57,20,,武則天,無,,168,34,82,400,1,4.5,快擊,無,8,,重擊,無,33,1.25,1.25,19.78798587,1494 ,16.02775371,,,,,,
58,20,,武則天,無,,62,20,91,200,1,2,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,19.74522293,1491 ,14.14213562,,,,,,
2779,21,,黃忠,無,空,171,37,91,1000,1,9,蜻蜓點水,空,7,,一閃而逝,空,21,1.25,1.25,9.550938338,721 ,12.33333333,,,,,,
60,21,v,黃忠,無,空,255,44,84,1600,2,13.5,快擊,無,8,,鳳翔千里,空,30,1.25,1.25,9.438501684,713 ,11.97528319,,,,,,
61,21,,黃忠,無,空,146,34,82,800,1,8,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,9.136420526,690 ,12.02081528,,,,,,
59,21,v,黃忠,無,空,263,45,84,1600,2,14,蜻蜓點水,空,7,,龍卷,龍,19,1.25,1,9.387157797,709 ,12.02675589,,,,,,
62,22,v,后羿,無,空,1244,97,91,4000,3,25.5,破甲擊,甲,11,,一閃而逝,空,21,1,1.25,24.38402885,1841 ,19.20886233,,,,,,
64,22,,后羿,無,空,777,76,86,1900,2,16,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,24.08555487,1819 ,19,,,,,,
63,22,v,后羿,無,空,833,77,88,2200,2,17,蜻蜓點水,空,7,,一閃而逝,空,21,1.25,1.25,24.48775612,1849 ,18.67524313,,,,,,
67,23,,一見發財,毒,,266,38,91,1300,2,11.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.43594153,864 ,11.20558867,,,,,,
65,23,v,一見發財,毒,,334,42,91,1600,2,14.5,無影神針,毒,11,,百毒禁忌,毒,43,1.25,1.25,11.51049385,869 ,11.02974036,,,,,,
68,23,,一見發財,毒,,229,35,88,1000,1,10,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.30306022,854 ,11.06797181,,,,,,
71,23,,一見發財,毒,,180,31,88,800,1,8,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.2640801,851 ,10.96015511,,,,,,
69,23,,一見發財,毒,,215,33,88,1000,1,9.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.20375195,846 ,10.70661379,,,,,,
70,23,,一見發財,毒,,215,33,88,1000,1,9.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.20375195,846 ,10.70661379,,,,,,
66,23,v,一見發財,毒,,216,34,91,1000,1,9.5,無影神針,毒,11,,百毒禁忌,毒,43,1.25,1.25,11.39210464,860 ,11.03105664,,,,,,
73,24,v,萬壽無殭,毒,,571,59,97,800,1,8.5,噬命擊,魔,13,8,萬毒招來,毒,41,1,1.25,33.89226888,2559 ,20.23683305,17.25,,,,,
74,24,,萬壽無殭,毒,,139,29,88,200,1,2.5,化屍水,毒,10,,萬毒招來,毒,41,1.25,1.25,33.01662708,2493 ,18.34121043,,,,,,
75,24,,萬壽無殭,毒,,668,65,86,1000,1,10,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,32.97137216,2490 ,20.55480479,,,,,,
77,24,,萬壽無殭,毒,,315,44,88,600,1,5,噬命擊,魔,13,,百毒禁忌,毒,43,1,1.25,32.94979079,2488 ,19.6773982,,,,,,
79,24,,萬壽無殭,毒,,68,20,82,200,1,1.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,32.85024155,2481 ,16.32993162,,,,,,
76,24,,萬壽無殭,毒,,349,46,84,600,1,5.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,32.83160865,2479 ,19.6144659,,,,,,
78,24,,萬壽無殭,毒,,277,41,84,400,1,4.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,32.62661955,2464 ,19.32758535,,,,,,
82,25,,爪扒貓,雷,,248,50,93,800,1,7.5,雷火擊,雷,8,,萬劫天雷,雷,41,1.25,1.25,16.63313213,1256 ,18.25741858,,,,,,
72,24,v,萬壽無殭,毒,,775,70,91,1300,2,11.5,噬命擊,魔,13,,百毒禁忌,毒,43,1,1.25,33.67076509,2543 ,20.64187386,,,,,,
81,25,v,爪扒貓,雷,,33,18,75,200,1,1.5,雷火擊,雷,8,,電光火石,雷,28,1.25,1.25,16.04668125,1212 ,14.69693846,,,,,,
80,25,低,爪扒貓,雷,,85,29,0,400,1,3.5,雷火擊,雷,8,,電光火石,雷,28,1.25,1.25,13.52964584,1022 ,15.50115203,,,,,,
83,26,v,蘿莉喵,雷,,477,55,93,800,1,7.5,天降雷火,雷,10,,快刀亂麻,聖,38,1.25,1,32.37300214,2445 ,20.08316044,,,,,,
84,26,v,蘿莉喵,雷,,199,35,80,400,1,3.5,天降雷火,雷,10,,快刀亂麻,聖,38,1.25,1,31.6752885,2392 ,18.70828693,,,,,,
86,27,v,干將,土,,69,26,84,400,1,3.5,地中乾坤,土,11,,擊打,土,24,1.25,1.25,10.98288898,829 ,13.89758458,,,,,,
87,27,,干將,土,,174,41,86,800,1,8,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,10.88861076,822 ,14.49568901,,,,,,
89,27,,干將,土,,136,37,82,600,1,6.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,10.64996085,804 ,14.512594,,,,,,
88,27,,干將,土,,215,48,80,1000,1,10,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,10.61204344,801 ,15.17893277,,,,,,
90,27,,干將,土,,112,34,80,600,1,5.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,10.53621825,796 ,14.49764871,,,,,,
91,27,,干將,土,,44,21,80,200,1,2.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,10.45130641,789 ,13.28156617,,,,,,
85,27,v,干將,土,,375,61,82,2200,2,17,掃擊,無,12,,擊打,土,24,1,1.25,11.02389981,832 ,14.79467313,,,,,,
92,28,v,魔劍干將,土,,399,60,86,800,1,8,地中乾坤,土,11,,開天闢地,土,48,1.25,1.25,25.26755747,1908 ,21.21320344,,,,,,
93,28,v,魔劍干將,土,,183,41,80,400,1,4,殺破狼,甲,13,,開天闢地,土,48,1,1.25,24.93527729,1883 ,20.5,,,,,,
94,29,v,小白目,毒,,260,52,93,1000,1,10.5,噬命擊,魔,13,,天地歸一,無,51,1,1,12.37093781,934 ,16.0475484,,,,,,
98,29,,小白目,毒,,179,45,91,800,1,7.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,12.00536553,907 ,16.43167673,,,,,,
96,29,,小白目,毒,,140,40,93,600,1,6,噬命擊,魔,13,,幻毒迷霧,毒,21,1,1.25,11.96581197,904 ,16.32993162,,,,,,
97,29,,小白目,毒,,253,53,86,1000,1,10.5,無影神針,毒,11,,天地歸一,無,51,1.25,1,11.90028222,899 ,16.3561551,,,,,,
100,29,,小白目,毒,,163,42,82,800,1,7,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.77745665,889 ,15.87450787,,,,,,
101,29,,小白目,毒,,125,36,80,600,1,5.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.75917215,888 ,15.35045158,,,,,,
102,29,,小白目,毒,,112,35,82,600,1,5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.71548117,885 ,15.65247584,,,,,,
99,29,,小白目,毒,,247,54,82,1000,1,10.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.61806209,877 ,16.6647618,,,,,,
103,29,,小白目,毒,,24,16,82,200,1,1.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.5942029,876 ,13.06394529,,,,,,
95,29,v,小白目,毒,,192,46,93,800,1,8,噬命擊,魔,13,,幻毒迷霧,毒,21,1,1.25,12.15882465,918 ,16.26345597,,,,,,
105,30,v,青光眼,毒,,227,49,93,600,1,6,無影神針,毒,11,,擊打,土,24,1.25,1,19.6281885,1482 ,20.00416623,,,,,,
106,30,,青光眼,毒,,185,44,88,600,1,5,噬命擊,魔,13,,猛毒,毒,42,1,1.25,19.35146444,1461 ,19.6773982,,,,,,
107,30,,青光眼,毒,,379,65,80,1000,1,10,噬命擊,魔,13,,猛毒,毒,42,1,1.25,18.70681145,1413 ,20.55480479,,,,,,
104,30,v,青光眼,毒,,289,56,91,800,1,7.5,噬命擊,魔,13,,幻毒迷霧,毒,21,1,1.25,19.61383148,1481 ,20.44830881,,,,,,
109,31,v,殺紅眼,毒,土,395,62,91,600,1,6,天蠍刺,毒,12,15,萬毒招來,毒,41,1.25,1.25,34.15477735,2579 ,25.31139401,17.265625,,,,,
110,31,,殺紅眼,毒,土,1295,112,88,2500,2,19,噬命擊,魔,13,8,乾坤一擲,金,52,1,1,33.84736017,2556 ,25.69456219,17.33333333,,,,,
108,31,v,殺紅眼,毒,土,991,98,91,1600,2,14.5,噬命擊,魔,13,8,萬毒招來,毒,41,1,1.25,34.15239342,2579 ,25.73606084,17.25,,,,,
112,32,v,河壹,毒,,315,52,91,1600,2,13.5,無影神針,毒,11,,猛毒,毒,42,1.25,1.25,11.65932561,880 ,14.1526074,,,,,,
114,32,,河壹,毒,,371,55,84,1900,2,16,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.50030998,868 ,13.75,,,,,,
113,32,,河壹,毒,,171,37,86,800,1,7.5,無影神針,毒,11,,奮力一擊,無,23,1.25,1,11.46881288,866 ,13.51048975,,,,,,
115,32,,河壹,毒,,380,57,84,1900,2,16.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.4251353,863 ,14.03242997,,,,,,
116,32,,河壹,毒,,539,67,82,3500,3,23.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.40499365,861 ,13.8210447,,,,,,
117,32,,河壹,毒,,60,22,84,400,1,3,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.36363636,858 ,12.70170592,,,,,,
111,32,v,河壹,毒,,373,56,88,1900,2,16,蜻蜓點水,空,7,,奮力一擊,無,23,1,1,11.65006091,880 ,14,,,,,,
119,33,v,河貳,毒,,162,36,93,400,1,4.5,無影神針,毒,11,,奮力一擊,無,23,1.25,1,19.29605146,1457 ,16.97056275,,,,,,
120,33,,河貳,毒,,78,26,84,200,1,2.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,18.52731591,1399 ,16.44384383,,,,,,
118,33,v,河貳,毒,,179,39,86,600,1,5,無影神針,毒,11,,奮力一擊,無,23,1.25,1,18.93779094,1430 ,17.44133022,,,,,,
122,34,v,河參,毒,土,624,70,93,1000,1,9,天蠍刺,毒,12,15,開天闢地,土,48,1.25,1.25,34.85254692,2632 ,23.33333333,17.8125,,,,,
123,34,,河參,毒,土,2146,129,91,6000,4,31.5,快速斬擊,鬥,8,4,開天闢地,土,48,1,1.25,34.74740933,2624 ,22.9844668,18.4,,,,,
124,34,,河參,毒,土,1539,111,82,3000,3,22.5,快速斬擊,鬥,8,,萬毒招來,毒,41,1,1.25,34.00353513,2568 ,23.40085469,,,,,,
121,34,v,河參,毒,土,2181,130,91,6000,4,32.5,快速斬擊,鬥,8,4,開天闢地,土,48,1,1.25,34.88651087,2635 ,22.8035085,18.4,,,,,
126,35,v,土地公,仙,,462,76,84,1600,2,14,捶打,無,13,,陰陽合擊,仙,41,1,1.25,16.48998822,1245 ,20.31185439,,,,,,
125,35,v,土地公,仙,,498,78,82,1900,2,15,歸元闢地,術,11,,天地歸一,無,51,1,1,16.59059866,1253 ,20.1395134,,,,,,
2209,36,v,福德伯,仙,土,479,71,93,800,1,7,地中乾坤,土,11,2,仙人指路,仙,18,1.25,1.25,35.01973973,2645 ,26.83547758,16.66666667,,,,,
127,36,,福德伯,仙,土,2185,150,84,6000,4,32.5,地中乾坤,土,11,8,陰陽合擊,仙,41,1.25,1.25,34.8151689,2629 ,26.31174058,17.91666667,,,,,
129,36,,福德伯,仙,土,554,76,86,800,1,8,地中乾坤,土,11,2,仙術,仙,13,1.25,1.25,34.66833542,2618 ,26.87005769,14.58333333,,,,,
131,36,,福德伯,仙,土,588,77,84,800,1,8.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,34.48680352,2604 ,26.41078211,,,,,,
130,36,,福德伯,仙,土,904,93,77,1600,2,13,地中乾坤,土,11,2,仙人指路,仙,18,1.25,1.25,34.42498096,2600 ,25.79355912,16.66666667,,,,,
128,36,v,福德伯,仙,土,1089,107,88,1900,2,15.5,地中乾坤,土,11,2,仙人指路,仙,18,1.25,1.25,35.10977851,2651 ,27.17802718,16.66666667,,,,,
132,37,v,狐狸精,火,,109,26,88,600,1,5,火襲,火,10,,猛火急襲,火,16,1.25,1.25,11.53195091,871 ,11.62755348,,,,,,
134,37,,狐狸精,火,,377,47,82,1900,2,16.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.33493686,856 ,11.57060015,,,,,,
136,37,,狐狸精,火,,84,22,88,400,1,4,快擊,無,8,,天地歸一,無,51,1,1,11.32075472,855 ,11,,,,,,
135,37,,狐狸精,火,,237,38,84,1000,1,10.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.1476952,842 ,11.7270546,,,,,,
133,37,v,狐狸精,火,,96,24,88,400,1,4.5,快擊,無,8,,猛火急襲,火,16,1,1.25,11.43469716,864 ,11.3137085,,,,,,
137,38,v,妲己,火,,836,79,91,1600,2,13.5,鬼影重重,魔,12,15,火焰爆,火,49,1,1.25,30.94348003,2337 ,21.50107663,15.078125,,,,,
139,38,,妲己,火,,191,37,84,400,1,3.5,鬼影重重,魔,12,8,衝擊烈焰,火,38,1,1.25,30.07874016,2271 ,19.7773319,15.94444444,,,,,
138,38,v,妲己,火,,354,51,88,600,1,6,鬼影重重,魔,12,,天火燎原,火,42,1,1.25,30.60959792,2312 ,20.82066281,,,,,,
140,39,v,默娘,無,仙,447,135,88,2200,2,17.5,鬼影重重,魔,12,,天地歸一,無,51,1,1.25,12.76522832,964 ,32.27117245,,,,,,
142,39,,默娘,無,仙,214,93,86,800,1,8.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,12.55131965,948 ,31.89873684,,,,,,
143,39,,默娘,無,仙,187,87,86,800,1,7.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,12.54191818,947 ,31.76790834,,,,,,
145,39,,默娘,無,仙,93,61,86,400,1,4,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,12.53369272,947 ,30.5,,,,,,
144,39,,默娘,無,仙,142,78,80,600,1,6,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,12.13675214,917 ,31.84336666,,,,,,
146,39,,默娘,無,仙,377,129,53,1900,2,16.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,11.33493686,856 ,31.75760467,,,,,,
141,39,v,默娘,無,仙,292,110,88,1300,2,11.5,鬼影重重,魔,12,,天地歸一,無,51,1,1.25,12.68627536,958 ,32.43723035,,,,,,
147,40,v,天妃媽祖,無,仙,2405,189,91,7000,4,33,捶打,無,13,3,仙風道骨,仙,33,1.25,1.25,38.16430487,2882 ,32.90067698,22.5,,,,,
149,40,,天妃媽祖,無,仙,2367,188,91,6000,4,32.5,捶打,無,13,,仙風道骨,仙,33,1.25,1.25,37.71510516,2848 ,32.97738153,,,,,,
148,40,,天妃媽祖,無,仙,395,76,88,600,1,5.5,捶打,無,13,,仙風道骨,仙,33,1.25,1.25,37.15898401,2806 ,32.40650889,,,,,,
150,40,,天妃媽祖,無,仙,1271,140,82,2200,2,17,捶打,無,13,,萬象歸元,無,48,1.25,1.25,37.09865733,2802 ,33.95498751,,,,,,
151,40,,天妃媽祖,無,仙,353,72,82,600,1,5,捶打,無,13,,萬象歸元,無,48,1.25,1.25,36.92468619,2788 ,32.19937888,,,,,,
147,40,v,天妃媽祖,無,仙,908,117,91,1300,2,12,捶打,無,13,3,萬象歸元,無,48,1.25,1.25,37.80655369,2855 ,33.77499075,27.1875,,,,,
152,41,進,魔神仔,毒,空,264,49,91,1900,2,15,噬命擊,魔,13,,幻毒迷霧,毒,21,1,1.25,8.795016158,664 ,12.6517456,,,,,,
153,41,v,魔神仔,毒,空,228,44,84,1600,2,13,快擊,無,8,,幻毒迷霧,毒,21,1,1.25,8.763500788,662 ,12.20340432,,,,,,
156,42,,汙妖王,毒,空,148,35,82,400,1,3.5,白鶴亮翅,空,12,,滅魂爪,魂,19,1.25,1,23.30708661,1760 ,18.70828693,,,,,,
155,42,,汙妖王,毒,空,171,39,82,400,1,4,白鶴亮翅,空,12,,滅魂爪,魂,19,1.25,1,23.0458221,1740 ,19.5,,,,,,
160,43,,希望種子,木,毒,205,35,95,600,1,6.5,化屍水,毒,10,,移花接木,木,33,1.25,1.25,16.0532498,1212 ,13.72812946,,,,,,
154,42,v,汙妖王,毒,空,960,90,88,2500,2,20,噬命擊,魔,13,,突襲,空,18,1,1.25,23.98980433,1812 ,20.1246118,,,,,,
157,43,v,希望種子,木,毒,267,40,86,800,1,8.5,飛天斬,木,10,,猛毒,毒,42,1.25,1.25,15.84804867,1197 ,13.71988681,,,,,,
159,43,,希望種子,木,毒,301,43,88,1000,1,9.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,15.68525274,1185 ,13.95104222,,,,,,
161,43,,希望種子,木,毒,457,52,84,1600,2,14.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,15.61859193,1179 ,13.65586902,,,,,,
164,43,,希望種子,木,毒,199,34,82,600,1,6.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,15.58339859,1177 ,13.33589719,,,,,,
163,43,,希望種子,木,毒,265,39,82,800,1,8.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,15.54252199,1174 ,13.37688964,,,,,,
167,43,,希望種子,木,毒,32,13,82,200,1,1.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,15.4589372,1167 ,10.61445555,,,,,,
162,43,,希望種子,木,毒,514,56,80,1900,2,16.5,,#N/A,#N/A,,,#N/A,#N/A,#N/A,#N/A,15.4539988,1167 ,13.78624699,,,,,,
